Nome,total (1000 pessoas),Nível de ocupação das pessoas de 14 anos de idade ou mais (%),Taxa de desocupação das pessoas de 14 anos de idade ou mais (%),"Proporção de pessoas com rendimento domiciliar per capita abaixo de US$ 6,85 PPC 2017 (%)",Proporção de pessoas vivendo em domicílios com esgotamento por rede coletora ou pluvial (%),Proporção de pessoas vivendo em domicílios com máquina de lavar roupa (%),Proporção de pessoas vivendo em domicílios com acesso à Internet (%),"Proporção de pessoas de 18 a 29 anos de idade com no mínimo 12 anos de
estudo (%)",Ano
Oeste do Paraná,1426.6099188354242,65.34919513004355,3.5473593535561303,15.46818548431018,59.286160399049606,91.40988551289658,98.2281020838555,74.99463781135653,2023
Centro e Sul Ocidental do Paraná,1247.9719350018438,62.53437460004092,3.4562062521672834,22.458859384463857,42.70709262145475,84.29427494919436,91.92330249464145,65.18073960525321,2023
Centro e Sul Oriental do Paraná,1035.2771098845549,59.22415802972534,4.755511910363663,21.642012867225624,64.6642750553502,78.66716014369574,92.72189193742415,59.87439689878274,2023
Norte Central e Norte Pioneiro do Paraná,1836.1226611983811,58.269735502104915,3.585818341699438,20.57832126752869,69.4464702041899,84.43628708628049,90.60116574660798,74.01734012065924,2023
Noroeste do Paraná,2117.7744026319538,62.62688621579664,5.723828198880001,15.362401720143053,65.84623713492607,90.16183151864271,94.69710631147217,76.22474694427669,2023
Florianópolis,531.3720000135886,66.44093229642309,4.447057967785263,4.523999733303927,65.09543831504739,96.23016645746526,98.90088801007,87.23859695946388,2023
Entorno metropolitano de Florianópolis,579.1550000122709,66.24844207012052,6.356067659643288,15.856835471102631,61.98159995425671,96.98135984339787,98.13043393849306,70.93818548856764,2023
Colar metropolitano de Florianópolis,185.6077151233301,64.78508752245942,4.357622074509579,8.99179614769269,42.09724671409886,94.81913849937752,95.25944341222934,59.30749521207956,2023
Oeste de Santa Catarina,991.5672758966082,67.27198958023259,2.0738422793795332,12.068856328438136,21.416003579907557,95.55141863079257,95.96105067569519,73.95788147640727,2023
Litoral Norte e Planalto Norte de Santa Catarina,1413.1906495358526,66.02934372187143,3.748008040226541,9.756368669999873,67.76030103109525,96.98337182230146,96.65880967328522,74.77113830271627,2023
Litoral Sul e Serrana Catarinense,1750.7871948146592,60.66591549815629,2.5399707966288085,14.450326944983617,66.60897498348423,95.65027900249791,93.80613623447529,70.15110637342958,2023
Vale do Itajaí,2040.6121647427512,69.62466665144684,3.340107148152925,10.629016546494967,67.39843522993986,95.16278616414753,96.51381055883779,71.31680940415727,2023
Porto Alegre,1500.356000029871,61.84986516148252,5.968880418060566,11.698599513418497,94.42489019439489,94.31097708769971,96.57281004109645,76.17202215668087,2023
Entorno metropolitano de Porto Alegre,2859.3950000562268,61.970681928752384,7.440944983859356,14.12549237937492,87.54132025814026,93.05401828669144,96.78175695330899,70.10449864296199,2023
Oeste do Rio Grande do Sul,877.2726105070993,64.53151870686338,3.637362442154728,13.42085869192508,41.448029225634656,92.48609967952787,91.5700123963577,75.96214201358694,2023
Noroeste do Rio Grande do Sul,1102.917722595,62.67765668372616,3.2101398355731026,12.407324228226225,33.67243541116293,92.03418804006932,92.18867064636233,70.08746656535872,2023
Planalto e Litoral Norte do Rio Grande do Sul,2061.584777249509,66.99983743854607,3.7575095729067454,12.390245565208016,68.07642191984425,94.22551828145052,94.49282466662443,71.02083908301607,2023
Depressão Central do Rio Grande do Sul,1410.084070134727,61.73369810653371,4.912767334183229,13.925989748676288,52.590938370145615,86.17707021045752,91.96557209699243,64.20407681673744,2023
Campanha e Litoral de Lagunar do Rio Grande do Sul,1716.451819631491,56.045136812773144,6.425858614449175,21.94725414629864,62.23525649377033,84.29658781283855,92.90769041607416,66.85455451585345,2023
Campo Grande,935.1270000174079,65.2589113153317,3.2696048263156308,17.240741459364198,75.83171316519982,88.08778159608504,93.04352848691899,80.24881347551813,2023
Pantanal de Mato Grosso do Sul,336.29299507657026,66.07571343283824,2.6313697407965364,20.73019797745917,56.877991909545614,72.104236717946,95.88817255535729,63.313619016998935,2023
Sul de Mato Grosso do Sul,967.48004925377,62.681739660242975,6.890332330518781,21.692394436899715,43.20717490523077,78.3744912638406,90.85129261517561,66.9743949580416,2023
Nordeste de Mato Grosso do Sul,585.2779557156213,64.08107887365809,4.4473846956371075,17.711057608085735,45.233047417533946,83.32142709424494,94.67013316026046,60.151420946369235,2023
Cuiabá,632.5590000107619,63.29570663721561,5.856284270118999,15.873068294987826,79.05345344587663,81.4983741068896,94.6829195682128,71.13509532243826,2023
Entorno metropolitano de Cuiabá,329.1520000052794,62.63799280624625,2.5377902362378926,29.884807228779476,36.351684116037745,79.35565794449379,91.38582403042219,70.95376433313722,2023
Colar metropolitano de Cuiabá,120.33809592156999,54.354722590623915,3.299281298354883,23.733398364441594,12.131327294479236,83.14239827062623,85.64555047242204,74.04869069290929,2023
Sudoeste do Mato Grosso,631.3205696684194,61.514907524228626,2.787343323433528,17.800354319158718,16.201515962163406,86.68032483630698,89.48070483630855,69.28559046587812,2023
Leste do Mato Grosso,802.1095584224239,65.91144791884697,3.355020897706062,17.18250876959968,57.070770212638436,77.07870904680966,92.7092475088152,70.57400048299013,2023
Norte do Mato Grosso,1074.764776042399,68.2915315851583,2.300865479573137,13.166552183400604,19.80113916911563,87.32699935213553,96.88934201547332,67.09517537062564,2023
Goiânia,1593.3620000642072,65.45860430432803,4.79217781332914,10.880560990023259,86.73151493077631,88.3803471969243,98.06388675480511,82.63864584670128,2023
Entorno metropolitano de Goiânia,1172.522000017995,65.81437086716582,5.296959737855594,21.912042614514544,45.9542289807435,80.61078627784454,96.53159449370378,76.03859754671933,2023
